text,label
"TNM PROMO Zachangu: Miracle Money: Lowani lero ndipo mutha kupeza MK100,000. Imbani 097350__38.",spam
CASH AWARD Zachangu: Mwayi wa ndalama watseguka lero. Tumizani uthenga ku 099189__85 kuti mulembetse.,spam
"MIRACLE MONEY Tikukudziwitsani kuti mwapatsidwa MK150,000 kuchokera ku program ya thandizo. Lumikizanani pa 089617__87.",spam
LUCKY DRAW Mwayi Wanu: Bungwe lathu lasankha inu kuti mulandire MK12 Million. Tumizani zambiri pa 099529__38.,spam
TNM PROMO Zidziwitso: Mwapambana ndalama mu mpikisano wa Airtel. Imbani 098448__45 kuti mutsimikizire mphotho.,spam
"MTUKULA PAKHOMO Lero Lokha: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK150,000. Imbani 098199__55.",spam
"CASH AWARD Zidziwitso: Mwapambana mu promotion ya TNM. Lumikizanani pa 098649__25 kuti mutenge MK100,000.",spam
GOLDEN CASH Zidziwitso: Ndinu osankhidwa kulandira MK12 Million. Tumizani zambiri zanu pa 097691__34 kuti mutsimikizire.,spam
MIRACLE CASH Ndinu osankhidwa kulandira MK12 Million. Tumizani zambiri zanu pa 097181__39 kuti mutsimikizire.,spam
MTUKULA PAKHOMO Zidziwitso: Katundu wanu wafika kuchokera ku South Africa. Imbani driver pa 097266__57 kuti akupatseni.,spam
TNM PROMO Zidziwitso: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK12 Million. Imbani 088723__91.,spam
"GOLDEN CASH Mwayi Wanu: Bungwe lathu lasankha inu kuti mulandire MK200,000. Tumizani zambiri pa 098376__91.",spam
MTUKULA PAKHOMO Mwayi Wanu: Bungwe lathu lasankha inu kuti mulandire MK12 Million. Tumizani zambiri pa 088334__14.,spam
AIRTEL BONUS Zidziwitso: Katundu wanu wafika kuchokera ku South Africa. Imbani driver pa 099997__50 kuti akupatseni.,spam
TNM PROMO Thandizo: Miracle Money: Lowani lero ndipo mutha kupeza MK2 Million. Imbani 098246__43.,spam
AIRTEL BONUS Zidziwitso: Ndalama zanu za MK10.8 Million zakonzeka. Lumikizanani ndi wothandizira pa 099508__56.,spam
"TNM PROMO Thandizo: Mwapatsidwa mphotho ya MK150,000. Chonde imbani 088256__90 musanathe nthawi.",spam
LUCKY DRAW Mphotho: Ndalama za ntchito yomwe munalembapo zafika. Lumikizanani pa 098490__86.,spam
JB FOUNDATION Zidziwitso: Muli pa mndandanda wa omwe adzalandire ndalama za COVID-19. Tsimikizani pa 088798__78.,spam
"MIRACLE MONEY Lero Lokha: Pulogalamu yathu ikupereka MK150,000 kwa omwe adalembetsa lero. Imbani 098261__68.",spam
JB FOUNDATION Zidziwitso: Mwayi wa ndalama watseguka lero. Tumizani uthenga ku 099208__90 kuti mulembetse.,spam
"MIRACLE MONEY Mwayi Wanu: Mwapatsidwa ndalama za Mtukula Pakhomo MK200,000. Imbani 089652__77 kuti mutsimikizire.",spam
AIRTEL BONUS Lero Lokha: Mwapambana mu promotion ya TNM. Lumikizanani pa 088471__49 kuti mutenge MK5 Million.,spam
MIRACLE CASH Mwayi Wanu: Tikukudziwitsani kuti mwapatsidwa MK10.8 Million kuchokera ku program ya thandizo. Lumikizanani pa 088849__72.,spam
"JB FOUNDATION CHOFUNIKA: Pulogalamu yathu ikupereka MK200,000 kwa omwe adalembetsa lero. Imbani 098662__31.",spam
CASH AWARD Mphotho: Muli pa mndandanda wa omwe adzalandire ndalama za COVID-19. Tsimikizani pa 089830__49.,spam
AIRTEL BONUS Lero Lokha: Miracle Cash ikupereka MK5 Million kwa anthu osankhidwa. Tsimikizani pa 098223__41.,spam
"AIRTEL BONUS Lero Lokha: Ndinu osankhidwa kulandira MK100,000. Tumizani zambiri zanu pa 099335__85 kuti mutsimikizire.",spam
MTUKULA PAKHOMO Zachangu: Mwapambana K12 Million! Imbani pa 089169__14 kuti mulandire mphotho yanu lero.,spam
"TNM PROMO Mwayi Wanu: Ndinu osankhidwa kulandira MK500,000. Tumizani zambiri zanu pa 098319__79 kuti mutsimikizire.",spam
MIRACLE CASH Thandizo: Mwayi wa ndalama watseguka lero. Tumizani uthenga ku 098294__22 kuti mulembetse.,spam
MONEY CENTER Mphotho: Miracle Cash ikupereka MK1.5 Million kwa anthu osankhidwa. Tsimikizani pa 098578__16.,spam
"AIRTEL BONUS Zachangu: Miracle Money: Lowani lero ndipo mutha kupeza MK100,000. Imbani 097919__23.",spam
JB FOUNDATION Mwayi Wanu: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK10 Million. Imbani 089532__33.,spam
MONEY CENTER Mwayi Wanu: Ndine driver amene ndanyamula katundu wanu. Imbani 099200__16 kuti tikonze delivery.,spam
"LUCKY DRAW Bungwe lathu lasankha inu kuti mulandire MK150,000. Tumizani zambiri pa 089516__72.",spam
"JB FOUNDATION Mphotho: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK100,000. Imbani 098102__59.",spam
TNM PROMO Thandizo: Ndalama za ntchito yomwe munalembapo zafika. Lumikizanani pa 099777__72.,spam
"MIRACLE MONEY Zidziwitso: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK250,000. Imbani 099853__79.",spam
DELIVERY NOTICE Lero Lokha: Mwayi wa ndalama watseguka lero. Tumizani uthenga ku 099588__74 kuti mulembetse.,spam
MIRACLE CASH Tumizani K100 pa 089170__86 kuti mutsegule ndalama zanu za MK10 Million.,spam
MALAWI SUPPORT Mwayi Wanu: Miracle Cash ikupereka MK2 Million kwa anthu osankhidwa. Tsimikizani pa 099352__84.,spam
MTUKULA PAKHOMO Zachangu: Tikukudziwitsani kuti mwapatsidwa MK2 Million kuchokera ku program ya thandizo. Lumikizanani pa 099678__76.,spam
CASH AWARD Mwayi Wanu: Mwapambana pa draw yathu! Mphotho yanu ndi MK12 Million. Tsimikizani pa 097344__43.,spam
MALAWI SUPPORT Zidziwitso: Mwapatsidwa mphotho ya MK5 Million. Chonde imbani 088109__68 musanathe nthawi.,spam
TNM PROMO Zachangu: Mwapambana ndalama mu mpikisano wa Airtel. Imbani 089618__43 kuti mutsimikizire mphotho.,spam
"DELIVERY NOTICE Zachangu: Mwalandira uthenga wapadera wa thandizo la MK250,000. Imbani 097261__66 kuti mudziwe zambiri.",spam
DELIVERY NOTICE Zidziwitso: Mukufuna chuma mwachangu? Joinani gulu lathu la ndalama pa 099108__95. Mphotho mpaka MK10.8 Million.,spam
"TNM PROMO Zachangu: Pali ndalama za MK200,000 zomwe zasungidwira inu. Tumizani account yanu kwa 088209__80.",spam
MONEY CENTER Zidziwitso: Mwapambana pa draw yathu! Mphotho yanu ndi MK10.8 Million. Tsimikizani pa 097308__97.,spam
MIRACLE CASH Zidziwitso: Dzina lanu lili pa mndandanda wa opindula. Mutha kulandira MK10 Million. Imbani 097966__16.,spam
"MONEY CENTER Mphotho: Miracle Money: Lowani lero ndipo mutha kupeza MK500,000. Imbani 088441__26.",spam
MIRACLE CASH CHOFUNIKA: Mwapambana pa draw yathu! Mphotho yanu ndi MK5 Million. Tsimikizani pa 098674__11.,spam
TNM PROMO CHOFUNIKA: Ndinu osankhidwa kulandira MK10 Million. Tumizani zambiri zanu pa 097696__80 kuti mutsimikizire.,spam
MTUKULA PAKHOMO CHOFUNIKA: Tili ndi phukusi lanu pa border. Chonde lumikizanani ndi driver pa 097915__15.,spam
CASH AWARD Mwayi Wanu: Tikufuna anthu ochepa okha kuti alowe mu program yathu. Mukalowa lero mupeza MK12 Million. Imbani 097898__81.,spam
"TNM PROMO CHOFUNIKA: Mwapambana mu promotion ya TNM. Lumikizanani pa 089522__13 kuti mutenge MK250,000.",spam
GOLDEN CASH Lero Lokha: Mwayi wa ndalama watseguka lero. Tumizani uthenga ku 089373__30 kuti mulembetse.,spam
"MTUKULA PAKHOMO Mphotho: Mwayi wanu wafika! Lowani mu program yathu ndipo mupeza MK100,000. Imbani 089304__68.",spam
"JB FOUNDATION Mwayi Wanu: Pali ndalama za MK250,000 zomwe zasungidwira inu. Tumizani account yanu kwa 089508__52.",spam
"DELIVERY NOTICE Zachangu: Dzina lanu lili pa mndandanda wa opindula. Mutha kulandira MK500,000. Imbani 099509__96.",spam
"MIRACLE MONEY Chuma Chachangu: anthu oyamba adzalandira MK150,000. Joinani lero pa 089694__43.",spam
DELIVERY NOTICE Mphotho: Mwayi wanu wafika! Lowani mu program yathu ndipo mupeza MK1.5 Million. Imbani 097546__87.,spam
MIRACLE MONEY Mphotho: Mwayi wanu wafika! Lowani mu program yathu ndipo mupeza MK10.8 Million. Imbani 097145__65.,spam
MALAWI SUPPORT Mwayi Wanu: Muli pa mndandanda wa omwe adzalandire ndalama za COVID-19. Tsimikizani pa 088780__52.,spam
"MTUKULA PAKHOMO Zachangu: Chuma Chachangu: anthu oyamba adzalandira MK500,000. Joinani lero pa 097782__62.",spam
CASH AWARD Zidziwitso: Katundu wanu wafika kuchokera ku South Africa. Imbani driver pa 089530__95 kuti akupatseni.,spam
MIRACLE MONEY CHOFUNIKA: Miracle Cash ikupereka MK10.8 Million kwa anthu osankhidwa. Tsimikizani pa 097515__80.,spam
"MTUKULA PAKHOMO Zidziwitso: Pali ndalama za MK250,000 zomwe zasungidwira inu. Tumizani account yanu kwa 099721__93.",spam
GOLDEN CASH Thandizo: Ndine driver amene ndanyamula katundu wanu. Imbani 089623__70 kuti tikonze delivery.,spam
"AIRTEL BONUS Zachangu: Tumizani K2,000 pa 099443__21 kuti mutsegule ndalama zanu za MK500,000.",spam
"AIRTEL BONUS Zidziwitso: Miracle Cash ikupereka MK250,000 kwa anthu osankhidwa. Tsimikizani pa 089125__15.",spam
CASH AWARD Zachangu: Pali mphatso yomwe yatumizidwa kwa inu. Lumikizanani ndi nambala 099299__99 kuti mulandire.,spam
CASH AWARD Mphotho: Pali mphatso yomwe yatumizidwa kwa inu. Lumikizanani ndi nambala 088868__23 kuti mulandire.,spam
MIRACLE CASH CHOFUNIKA: Ndalama zanu za MK10 Million zakonzeka. Lumikizanani ndi wothandizira pa 088670__41.,spam
MTUKULA PAKHOMO CHOFUNIKA: Ndine driver amene ndanyamula katundu wanu. Imbani 099672__86 kuti tikonze delivery.,spam
LUCKY DRAW Thandizo: Pulogalamu yathu ikupereka MK10.8 Million kwa omwe adalembetsa lero. Imbani 099536__80.,spam
MONEY CENTER CHOFUNIKA: Chonde tumizani nambala ya account yanu ku 097869__41 kuti tikutumizireni MK5 Million.,spam
GOLDEN CASH Thandizo: Mwapambana pa draw yathu! Mphotho yanu ndi MK12 Million. Tsimikizani pa 097550__19.,spam
"TNM PROMO Mwayi Wanu: Pali ndalama za MK500,000 zomwe zasungidwira inu. Tumizani account yanu kwa 097653__20.",spam
MIRACLE CASH Mwayi Wanu: Mwapatsidwa mphotho ya MK2 Million. Chonde imbani 089823__37 musanathe nthawi.,spam
